Sample	L_sinapis-DNA-BLab	No_hits	Lotus_corniculatus-genomic-NCBI	23S_28S_LSU_rRNA_insecta-SILVA	Adapters_Illumina	Lotus_japonicus-genomic	16S_18S_SSU_rRNA_insecta-SILVA	5S_rRNA_Rfam-EMBL-EBI-all_species	5_8S_rRNA_Rfam-EMBL-EBI-all_species	Multiple_Genomes	Wolbachia-DNA-ensembl	Drosophila_ensembl	Human_ensembl	L_sinapis-repeats-BLab
P11917_146_S93_R2_001_SORTMERNA_CLEAN_screen	6576249.0	177125.0	0.0	0.0	0.0	216.0	0.0	0.0	0.0	445093.0	79.0	462.0	956.0	28.0
P11917_147_S94_R1_001_SORTMERNA_CLEAN_screen	7138100.0	284696.0	0.0	0.0	1.0	245.0	0.0	0.0	0.0	418411.0	207.0	457.0	751.0	7.0
P11917_147_S94_R2_001_SORTMERNA_CLEAN_screen	7077888.0	308224.0	0.0	0.0	0.0	295.0	0.0	0.0	0.0	455171.0	216.0	405.0	670.0	6.0
P11917_148_S95_R1_001_SORTMERNA_CLEAN_screen	8403506.0	399339.0	0.0	0.0	0.0	529.0	0.0	0.0	0.0	569153.0	493.0	406.0	719.0	17.0
P11917_148_S95_R2_001_SORTMERNA_CLEAN_screen	8323355.0	437773.0	0.0	0.0	0.0	574.0	0.0	0.0	0.0	610976.0	491.0	353.0	607.0	33.0
P11917_149_S96_R1_001_SORTMERNA_CLEAN_screen	10455481.0	235892.0	0.0	0.0	0.0	226.0	0.0	0.0	0.0	647282.0	87.0	745.0	1228.0	64.0
P11917_149_S96_R2_001_SORTMERNA_CLEAN_screen	10321599.0	291463.0	0.0	0.0	0.0	278.0	0.0	0.0	0.0	725904.0	80.0	605.0	1030.0	46.0
P11917_150_S97_R1_001_SORTMERNA_CLEAN_screen	8155655.0	545410.0	0.0	0.0	0.0	187.0	0.0	0.0	0.0	463286.0	134.0	637.0	1190.0	61.0
P11917_150_S97_R2_001_SORTMERNA_CLEAN_screen	8100289.0	561910.0	0.0	0.0	1.0	177.0	0.0	0.0	0.0	502524.0	145.0	499.0	994.0	21.0
P11917_151_S98_R1_001_SORTMERNA_CLEAN_screen	8509083.0	495759.0	0.0	0.0	0.0	331.0	0.0	0.0	0.0	713160.0	386.0	477.0	1410.0	176.0
P11917_151_S98_R2_001_SORTMERNA_CLEAN_screen	8432973.0	549224.0	0.0	0.0	0.0	350.0	0.0	0.0	0.0	735998.0	396.0	389.0	1377.0	75.0
P11917_152_S99_R1_001_SORTMERNA_CLEAN_screen	9197826.0	600104.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0	634954.0	399.0	510.0	2604.0	77.0
P11917_152_S99_R2_001_SORTMERNA_CLEAN_screen	9125911.0	655418.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	651761.0	397.0	383.0	2549.0	35.0
P11917_153_S100_R1_001_SORTMERNA_CLEAN_screen	5720419.0	241799.0	0.0	0.0	0.0	201.0	0.0	0.0	0.0	365010.0	773.0	473.0	1099.0	48.0
P11917_153_S100_R2_001_SORTMERNA_CLEAN_screen	5670361.0	281044.0	0.0	0.0	0.0	225.0	0.0	0.0	0.0	376032.0	787.0	376.0	973.0	24.0
P11917_154_S101_R1_001_SORTMERNA_CLEAN_screen	7542825.0	734843.0	0.0	0.0	0.0	169.0	0.0	0.0	0.0	458108.0	388.0	435.0	938.0	34.0
P11917_154_S101_R2_001_SORTMERNA_CLEAN_screen	7517115.0	749698.0	0.0	0.0	0.0	188.0	0.0	0.0	0.0	469183.0	404.0	357.0	778.0	17.0
P11917_155_S102_R1_001_SORTMERNA_CLEAN_screen	10287413.0	418944.0	0.0	0.0	0.0	350.0	0.0	0.0	0.0	553318.0	28.0	667.0	868.0	364.0
P11917_155_S102_R2_001_SORTMERNA_CLEAN_screen	10161721.0	520302.0	0.0	0.0	0.0	362.0	0.0	0.0	0.0	577400.0	27.0	917.0	847.0	376.0
P11917_156_S103_R1_001_SORTMERNA_CLEAN_screen	9535822.0	363300.0	0.0	0.0	0.0	496.0	0.0	0.0	0.0	448527.0	136.0	930.0	1160.0	62.0
P11917_156_S103_R2_001_SORTMERNA_CLEAN_screen	9441594.0	444033.0	0.0	0.0	0.0	575.0	0.0	0.0	0.0	461876.0	131.0	1019.0	1164.0	41.0
P11917_157_S104_R1_001_SORTMERNA_CLEAN_screen	6904263.0	835827.0	0.0	0.0	0.0	315.0	0.0	0.0	0.0	444518.0	109.0	593.0	706.0	33.0
P11917_157_S104_R2_001_SORTMERNA_CLEAN_screen	6817619.0	897225.0	0.0	0.0	0.0	304.0	0.0	0.0	0.0	469800.0	105.0	680.0	615.0	16.0
P11917_158_S105_R1_001_SORTMERNA_CLEAN_screen	9054729.0	381386.0	0.0	0.0	0.0	306.0	0.0	0.0	0.0	677461.0	85.0	738.0	1619.0	38.0
P11917_158_S105_R2_001_SORTMERNA_CLEAN_screen	8962732.0	449166.0	0.0	0.0	0.0	315.0	0.0	0.0	0.0	701561.0	86.0	852.0	1616.0	34.0
P11917_159_S106_R1_001_SORTMERNA_CLEAN_screen	10400374.0	648557.0	0.0	0.0	0.0	272.0	0.0	0.0	0.0	697785.0	578.0	758.0	862.0	43.0
P11917_159_S106_R2_001_SORTMERNA_CLEAN_screen	10287088.0	731976.0	0.0	0.0	0.0	425.0	0.0	0.0	0.0	727568.0	603.0	795.0	751.0	23.0
P11917_160_S107_R1_001_SORTMERNA_CLEAN_screen	6728140.0	357615.0	0.0	0.0	0.0	773.0	0.0	0.0	0.0	266585.0	2426.0	517.0	2239.0	47.0
P11917_160_S107_R2_001_SORTMERNA_CLEAN_screen	6670423.0	417217.0	0.0	0.0	0.0	957.0	0.0	0.0	0.0	264403.0	2475.0	628.0	2204.0	35.0
P11917_161_S108_R1_001_SORTMERNA_CLEAN_screen	10639289.0	566141.0	0.0	0.0	0.0	234.0	0.0	0.0	0.0	586230.0	49.0	1224.0	1287.0	151.0
P11917_161_S108_R2_001_SORTMERNA_CLEAN_screen	10492388.0	660497.0	0.0	0.0	0.0	294.0	0.0	0.0	0.0	638538.0	53.0	1542.0	1134.0	159.0
P11917_162_S109_R1_001_SORTMERNA_CLEAN_screen	7366623.0	159856.0	0.0	0.0	0.0	150.0	0.0	0.0	0.0	669664.0	61.0	612.0	754.0	63.0
P11917_162_S109_R2_001_SORTMERNA_CLEAN_screen	7292229.0	204944.0	0.0	0.0	0.0	172.0	0.0	0.0	0.0	699184.0	57.0	530.0	640.0	27.0
P11917_163_S110_R1_001_SORTMERNA_CLEAN_screen	9612300.0	219733.0	0.0	0.0	0.0	649.0	0.0	0.0	0.0	679007.0	124.0	723.0	1012.0	19.0
