gene_id,P5052_202_S48,P5052_203_S49,P5052_204_S34,P5052_205_S35,P5052_210_S51,P5052_211_S52,P5052_212_S36,P5052_213_S53,P5052_218_S55,P5052_219_S56,P5052_220_S57,P5052_221_S58,P5052_226_S59,P5052_227_S38,P5052_233_S60,P5052_234_S61,P5052_235_S62,P7553_325_S10
leptidea_sinapisG00000013693,58,56,37,7,27,17,0,15,8,0,45,25,74,201,23,9,3,50
leptidea_sinapisG00000002278,8,2,134,114,4,2,0,56,0,0,90,550,3,0,48,24,24,10
leptidea_sinapisG00000002279,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0
leptidea_sinapisG00000009989,545,430,501,110,767,352,69,233,157,318,1023,1441,817,2443,533,385,429,951
leptidea_sinapisG00000009988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000002274,0,3,0,0,0,0,0,1,1,1,0,0,0,2,0,3,0,0
leptidea_sinapisG00000009986,20,39,38,38,31,71,151,396,33,60,865,438,27,393,130,157,92,111
leptidea_sinapisG00000002276,105,59,30,8,103,10,0,7,24,21,29,57,218,275,94,75,140,303
leptidea_sinapisG00000009984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000009983,67,112,80,8,19,37,14,1,1,11,6,25,35,39,41,56,122,21
leptidea_sinapisG00000002271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000015549,5,4,0,0,26,3,0,0,9,5,0,9,5,79,68,3,26,17
leptidea_sinapisG00000002273,170,157,157,0,108,77,15,77,96,92,105,263,423,1403,92,86,125,615
leptidea_sinapisG00000014180,11,0,28,0,2,0,0,0,8,0,17,0,0,0,45,5,21,0
leptidea_sinapisG00000003279,40,27,27,0,9,13,0,13,5,3,33,51,65,93,35,63,105,50
leptidea_sinapisG00000003278,27,35,56,0,37,18,0,13,21,17,45,70,54,187,37,47,35,45
leptidea_sinapisG00000003273,45,20,137,17,46,22,32,20,12,28,14,82,46,95,87,121,197,69
leptidea_sinapisG00000003272,168,109,222,50,102,58,8,125,82,48,207,246,324,653,177,90,190,332
